business_name,category,Addresse,lat,lon,description_fr,instagram,image_url,image_orientation
Blés de Pays,Boulangerie,"6525 Boul. Saint-Laurent, Montréal, QC H2S 3C5",45.53066620178877,-73.60917178093507,,bles_de_pays,,
Automne,Boulangerie,"6500 Av. Christophe Colomb, Montréal, QC H2S 2G8",45.53764159078903,-73.60187463462353,,automneboulangerie,,
Le Pain dans les Voiles,Boulangerie,"357 R. de Castelnau E, Montréal, QC H2R 1R1",45.538578128848684,-73.6178082972765,,paindanslesvoiles,,
Louise,Boulangerie,"6835 Boul. Saint-Laurent, Montréal, QC H2S 3C8",45.53290934577504,-73.6141088604927,,louiseboulangerie,DSCF0224.JPG,landscape
Toldeo,Boulangerie,"351 Mont-Royal Ave E, Montreal, Quebec H2T 1R1",45.52363064138299,-73.58336806297302,,toledo.mtl,,
Kem Coba,Cremerie,"60 Av. Fairmount O, Montréal, QC H2T 2M2",45.52306875898255,-73.59506115317345,,kemcoba,,
Ripples,Cremerie,"5554 Rue Jeanne-Mance, Montréal, QC H2V 1Y1",45.52294285145428,-73.60190078616142,,ripplesicecream,,
Swirl,Cremerie,"230 Rue Rachel E, Montréal, QC H2W 1E3",45.5201512024562,-73.57955664396286,,swirlmtl,,
Givres de Villeray,Cremerie,"334 R. de Castelnau E, Montréal, QC H2R 1P8",45.53823009922452,-73.61769765615463,,lesgivres,,
Iconono glace,Cremerie,"50 Av. Laurier O, Montréal, QC H2T 2N4",45.522371565995236,-73.59322652220726,,iconoglace,,
Noble, Coffee,"430 Laurier Ave E, Montreal, Quebec H2J 1E6",45.52732877749159,-73.5890007019043,,noblecafemtl,,
